Year,Athlete,Overall Rank,Overall Points,Country,Age,Height,Weight,100 metres Rank,100 metres Time,100 metres Points,Long Jump Rank,Long Jump Distance,Long Jump Points,Shot Put Rank,Shot Put Distance,Shot Put Points,High Jump Rank,High Jump Height,High Jump Points,400 metres Rank,400 metres Time,400 metres Points,110 metres Hurdles Rank,110 metres Hurdles Time,110 metres Hurdles Points,Discus Throw Rank,Discus Throw Distance,Discus Throw Points,Pole Vault Rank,Pole Vault Height,Pole Vault Points,Javelin Throw Rank,Javelin Throw Distance,Javelin Throw Points,"1,500 metres Rank","1,500 metres Time","1,500 metres Points"
1912,Jim Thorpe,1,6564,USA,25.13,183,86,3,11.2,765,3,6.79,764,1,12.89,661,1,1.87,687,4,52.2,710,1,15.6,751,3,36.98,603,3,3.25,418,4,45.70,525,1,280.1,680
1912,Hugo Wieslander,2,5966,SWE,23.09,182,81,13,11.8,643,8,6.42,679,4,12.14,615,4,1.75,585,8,53.6,650,11,17.2,579,4,36.29,590,8,3.10,381,1,50.40,595,6,285.0,649
1912,Charles Lomberg,3,5722,SWE,25.60,182,75,13,11.8,643,1,6.87,783,5,11.67,586,2,1.80,627,12,55.0,593,14,17.6,540,6,35.35,571,3,3.25,418,7,41.83,469,12,312.2,492
1912,Gösta Holmér,4,5768,SWE,20.80,185,84,7,11.4,723,19,5.98,582,12,10.98,545,7,1.70,544,6,53.2,667,8,17.0,599,8,31.78,500,7,3.20,406,3,46.28,534,2,281.9,668
1912,Jim Donahue,5,5701,USA,27.23,172,61,13,11.8,643,5,6.48,693,24,9.67,466,13,1.65,504,2,51.6,736,2,16.2,684,14,29.95,463,2,3.40,457,13,37.09,400,5,284.0,655
1912,Roy Mercer,6,5825,USA,23.70,180,80,1,11.0,808,2,6.84,776,23,9.76,471,13,1.65,504,1,49.9,813,4,16.4,662,18,21.95,309,1,3.60,509,14,32.32,332,7,286.3,641
1912,Valdemar Wickholm,7,5613,FIN,21.68,184,74,8,11.5,703,20,5.95,576,10,11.09,551,18,1.60,464,5,52.3,706,8,17.0,599,15,29.78,460,3,3.25,418,6,42.58,480,4,283.9,656
1912,Erik Kugelberg,8,5345,SWE,21.34,187,84,22,12.3,549,13,6.20,630,19,9.98,484,13,1.65,504,14,55.7,565,11,17.2,579,10,31.48,494,9,3.00,357,5,45.67,525,3,283.5,658
1912,Karl von Halt,9,5286,DEU,21.11,191,84,18,12.1,586,15,6.08,604,8,11.12,553,7,1.70,544,9,54.2,626,15,17.7,530,5,35.46,573,12,2.70,286,10,39.82,440,9,302.8,544
1912,Josef Schäffer,10,5049,AUT,21.03,183,78,22,12.3,549,17,6.04,595,6,11.50,576,20,1.55,426,17,58.2,471,17,18.9,420,2,37.14,607,3,3.25,418,9,41.06,457,10,305.3,530
1912,Aleksandr Schultz,11,4973,RUS,20.04,,,22,12.3,549,23,5.75,533,18,10.08,490,20,1.55,426,11,54.6,609,16,17.8,520,11,31.34,491,12,2.70,286,11,38.99,428,8,286.4,641
1912,Alfrēds Alslēbens,12,4329,RUS,20.00,,,20,12.2,567,12,6.27,646,28,8.48,395,7,1.70,544,18,59.0,443,18,19.5,370,16,29.21,449,,,,12,37.34,404,11,308.6,511
1912,George Philbrook,,,USA,27.75,187,86,26,12.4,531,10,6.34,661,3,12.79,654,2,1.80,627,16,56.7,527,7,16.8,620,1,41.56,696,15,2.50,242,8,41.67,466,,,
1912,Ferdinand Bie,,,NOR,24.40,174,72,12,11.7,663,4,6.69,741,16,10.20,498,13,1.65,504,6,53.2,667,4,16.4,662,9,31.65,497,10,2.90,333,2,48.52,567,,,
1912,Frank Lukeman,,,CAN,27.06,178,,3,11.2,765,14,6.14,617,27,9.29,443,4,1.75,585,3,52.1,714,3,16.3,673,12,30.52,475,12,2.70,286,,,,,,
1912,Avery Brundage,,,USA,24.79,183,91,20,12.2,567,9,6.40,675,8,11.12,553,7,1.70,544,13,55.2,585,10,17.1,589,7,34.07,545,10,2.90,333,,,,,,
1912,Géo André,,,FRA,22.91,184,85,10,11.6,683,26,5.60,502,20,9.90,480,4,1.75,585,10,54.5,613,4,16.4,662,17,25.37,374,,,,,,,,,
1912,Alfredo Pagani,,,ITA,24.85,,,26,12.4,531,22,5.83,550,24,9.67,466,13,1.65,504,15,56.1,550,11,17.2,579,13,30.20,468,,,,,,,,,
1912,Einar Nilsson,,,SWE,21.10,190,92,8,11.5,703,24,5.72,527,2,12.83,657,7,1.70,544,,,,,,,,,,,,,,,,,,
1912,Otto Röhr,,,DEU,20.64,193,81,5,11.3,744,7,6.43,682,22,9.81,474,7,1.70,544,,,,,,,,,,,,,,,,,,
