Old IOC,Athlete,New IOC
BOH,Jindřich Jirsák,CZE
BOH,Boris Honzátko,CZE
EUN,Ramil Ganiyev,UZB
EUN,Viktor Radchenko,UKR
EUN,Eduard Hämäläinen,BLR
FRG,Hans-Joachim Walde,GER
FRG,Kurt Bendlin,GER
FRG,Werner von Moltke,GER
FRG,Hans-Joachim Perk,GER
FRG,Horst Beyer,GER
FRG,Guido Kratschmer,GER
FRG,Claus Marek,GER
FRG,Eberhard Stroot,GER
FRG,Jürgen Hingsen,GER
FRG,Siggi Wentz,GER
GDR,Joachim Kirst,GER
GDR,Manfred Tiedtke,GER
GDR,Herbert Wessel,GER
GDR,Stefan Schreyer,GER
GDR,Siegfried Stark,GER
GDR,Steffen Grummt,GER
GDR,Rainer Pottel,GER
GDR,Christian Schenk,GER
GDR,Torsten Voss,GER
GDR,Uwe Freimuth,GER
TCH,Eduard Hašek,CZE
TCH,Jiří Svoboda,CZE
TCH,Josef Klein,CZE
TCH,Luděk Pernica,CZE
TCH,Roman Hrabaň,CZE
TCH,Věroslav Valenta,CZE
TCH,Robert Změlík,CZE
TWN,Yang C. K.,TPE
URS,Vladimir Volkov,RUS
URS,Sergey Kuznetsov,RUS
URS,Pyotr Kozhevnikov,RUS
URS,Vasily Kuznetsov,RUS
URS,Uno Palu,EST
URS,Yury Kutenko,UKR
URS,Iuri Diachk'ovi,GEO
URS,Rein Aun,EST
URS,Mikhail Storozhenko,UKR
URS,Nikolay Avilov,UKR
URS,Jānis Lanka,LAT
URS,Leonid Litvinenko,UKR
URS,Boris Ivanov,RUS
URS,Aleksandr Grebenyuk,RUS
URS,Yury Kutsenko,RUS
URS,Sergey Zhelanov,RUS
URS,Valeriu Caceanov,MDA
URS,Pavel Tarnovetsky,UKR
URS,Valter Külvet,EST
URS,Aleksandr Apaychev,UKR
VNM,Ho Henh Phươc,VIE
YUG,Peroslav Ferković,CRO
YUG,Ðuro Gašpar,CRO
YUG,Branko Kallay,CRO
YUG,Davorin Marčelja,CRO
YUG,Oto Rebula,SRB
YUG,Jože Brodnik,SLO
YUG,Mirko Kolnik,SLO
